Facility ID,Facility Name,Facility Type,Ownership,Operational Status,Province,District,Services
1835,Namatindi Rural Health Centre,Health Centre,MOH,Functional,Western,Kalabo,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
1815,Kaluwe Rural Health Centre,Health Centre,MOH,Functional,Western,Sikongo,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
2564,Mankhaka  Health Post,Health Post,MOH,Functional,Eastern,Lundazi,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services; General Practice Consultation & Treatment; Maternity"
4084,Chisu Health Post,Health Post,MOH,Functional,Western,Mwandi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4157,Chienge District Hospital,1st Level Hospital,MOH,Functional,Luapula,Chienge,Resuscitation and Emergency Medicine; Critical Care Medicine (High Dependency Care); Internal Medicine (Infectious and None Communicable Medicine); Laboratory Services; Dental; Ophthalmology; Obstetrics and Gynaecology; Palliative care services; Patient Referral and Transfer; Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Imaging such as radiology and sonography (Simple and Special); Surgery
1337,Nanzhila Rural Health Centre,Health Centre,MOH,Functional,Southern,Itezhi-Tezhi,"General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; ART & VMMC; Public Health Services; Dental; Laboratory Services"
3467,Lealui Rural Health Centre,Health Centre,MOH,Functional,Western,Mongu,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
3662,Zubeda Clinic,Diagnostic centre,Private,Functional,Lusaka,Kafue,N/A
1830,Katondo Urban Health Centre,Health Centre,MOH,Functional,Central,Kabwe,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Laboratory Services; ART & VMMC"
2503,Mutanda Rural Health Centre,Health Centre,MOH,Functional,North-Western,Kalumbila,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
3283,Hamatuba Health Post,Health Post,MOH,Functional,Southern,Gwembe,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
3237,Lumbe Nanyenzu Health Post,Health Post,MOH,Functional,Western,Senanga,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1901,Kawaza Rural Health Post,Health Post,MOH,Functional,Eastern,Katete,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
2817,Katuta Rural Health Centre,Health Centre,MOH,Functional,Luapula,Mwense,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
3240,Choma Health Post,Health Post,MOH,Functional,Muchinga,Mafinga,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
4020,Mpidi Health Centre,Health Centre,MOH,Functional,North-Western,Zambezi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
4126,Chingola Surgery Limited,General clinic,Private,Functional,Copperbelt,Chingola,N/A
1772,Makia Health Post,Health Post,MOH,Functional,Western,Sikongo,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
1805,Lutwi Health Post,Health Post,MOH,Functional,Western,Kalabo,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4225,Multi Care Hospital,1st Level Hospital,Private,Functional,Lusaka,Lusaka,N/A
3668,First Fruits Health Centre,General clinic,Private,Functional,Lusaka,Lusaka,N/A
3658,Village of Hope Health Center,General clinic,Private,Functional,Lusaka,Chongwe,N/A
2509,Shilenda Rural Health Centre,Health Centre,MOH,Functional,North-Western,Kalumbila,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
1664,Limulunga Stage II Rural Health Centre,Health Centre,MOH,Functional,Western,Limulunga,"Dental; Laboratory Services; Public Health Services; ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2629,Kamitonte Rural Health Centre,Health Centre,ZNS,Functional,North-Western,Solwezi,N/A
1097,Situlu Health Post,Health Post,MOH,Functional,Western,Mwandi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
3981,Lubilo Health Post,Health Post,MOH,Functional,North-Western,Mufumbwe,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
2004,Bwanunkha Rural Health Centre,Health Centre,MOH,Functional,Eastern,Chadiza,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
2566,Shimulala Health Post,Health Post,MOH,Functional,Copperbelt,Chingola,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
4196,Teal Dermatology,Others,Private,Functional,Lusaka,Chilanga,N/A
2403,Tinna Medical Centre,Health Centre,Private,Functional,Copperbelt,Kitwe,N/A
2904,Mushika Health Post,Health Post,MOH,Functional,Northern,Lunte,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2557,Konkola Health Post,Health Post,MOH,Functional,Copperbelt,Chililabombwe,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
2893,Kawama Rural Health Centre,Health Centre,MOH,Functional,Luapula,Mwense,"Dental; Laboratory Services; Public Health Services; ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
3481,Lubwa Rural Health Centre,Health Centre,Faith Based,Functional,Muchinga,Chinsali,N/A
2280,Misaka Health Post,Health Post,MOH,Functional,Copperbelt,Luanshya,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services; General Practice Consultation & Treatment; Maternity"
3092,Fikombo Health Post,Health Post,MOH,Functional,Luapula,Chembe,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4352,Vision Care Centre-Makeni Shopping Mall,Eye clinic,Private,Functional,Lusaka,Lusaka,N/A
3605,Chembe Rural Health Centre,Health Centre,MOH,Functional,Luapula,Chembe,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
1281,Hamapande Rural Health Centre,Health Centre,MOH,Functional,Southern,Monze,"Dental; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Laboratory Services; Public Health Services; ART & VMMC"
3530,Mayanga Health Post,Health Post,MOH,Functional,Northern,Mbala,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4226,City Dental Clinic,General clinic,Private,Functional,Lusaka,Lusaka,N/A
4317,WHB Medical Centre,General clinic,Private,Functional,Lusaka,Lusaka,N/A
1817,Kafulamase Health Post,Health Post,MOH,Functional,Central,Kabwe,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1447,Lui River Rural Health Centre,Health Centre,MOH,Functional,Western,Senanga,"Maternity; ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Dental; Laboratory Services; Public Health Services"
4704,Nvumabaranda Chisasa Health Service,Health Post,Private,Functional,North-Western,Kalumbila,N/A
3578,Kamisamba Health Post,Health Post,MOH,Functional,North-Western,Kabompo,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3148,Miteta Health Post,Health Post,MOH,Functional,Copperbelt,Chililabombwe,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1311,Silowana Rural Health Centre,Health Centre,MOH,Functional,Western,Sioma,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3865,Twingi Health Post,Health Post,MOH,Functional,Luapula,Samfya,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
1469,Kaanzwa Rural Health centre,Health Centre,MOH,Functional,Southern,Itezhi-Tezhi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Dental; Laboratory Services; ART & VMMC; Public Health Services"
3492,Kampinda Rural Health Centre,Health Centre,MOH,Functional,Northern,Nsama,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
1720,Mwenyi Health Post,Health Post,MOH,Functional,Western,Sikongo,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2218,Chondwe Health Post,Health Post,MOH,Functional,Copperbelt,Masaiti,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services; General Practice Consultation & Treatment; Maternity"
2724,Ndoba Rural Health Center,Health Centre,MOH,Functional,Luapula,Mansa,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
2896,Kampamba Health Post,Health Post,MOH,Functional,Northern,Mungwi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3635,Mukangala Health Centre,Health Centre,MOH,Functional,North-Western,Ikelenge,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3815,Mwaiseni Urban Health Center,Health Centre,MOH,Functional,Copperbelt,Kitwe,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Dental; Laboratory Services; Public Health Services; ART & VMMC"
3917,Rufunsa Rural Health Center,Health Centre,MOH,Functional,Lusaka,Rufunsa,"Dental; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Laboratory Services; Public Health Services; ART & VMMC"
4357,Vision Care Opticians Great North Mall,Eye clinic,Private,Functional,Lusaka,Lusaka,N/A
1840,Pollen Urban Health Centre,Health Centre,MOH,Functional,Central,Kabwe,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Laboratory Services; Public Health Services"
3055,Puta Rural Health Centre,Health Centre,MOH,Functional,Luapula,Chienge,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
2561,Muchinshi Rural Health Centre,Health Centre,MOH,Functional,Copperbelt,Chingola,"General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services; ART & VMMC"
2116,Mfulabunga Rural Health Centre,Health Centre,MOH,Functional,Copperbelt,Mpongwe,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3915,Maina Soko Hospital,3rd Level Hospital,ZDF,Functional,Lusaka,Lusaka,N/A
3962,Kimikanga Rural Health Center,Health Centre,MOH,Functional,North-Western,Kalumbila,"Dental; Laboratory Services; Public Health Services; ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2273,Chawama Health Post,Health Post,MOH,Functional,Copperbelt,Luanshya,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1737,Mwanawina Rural Health Centre,Health Centre,MOH,Functional,Western,Limulunga,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
4065,Nyambi 2 Rural Health Centre,Health Centre,MOH,Functional,Western,Luampa,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
1752,Luoke West Rural Health Centre,Health Centre,MOH,Functional,Western,Sikongo,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Dental; Laboratory Services; Public Health Services; ART & VMMC"
1810,Nyaala Health Post,Health Post,MOH,Functional,Western,Mitete,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3389,Kamwanya Health Post,Health Post,MOH,Functional,Muchinga,Mpika,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1616,Kabeleka Health Post,Health Post,MOH,Functional,Lusaka,Chongwe,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Public Health Services"
3604,Kasomalwela Rural Health Centre,Health Centre,MOH,Functional,Luapula,Chembe,"ART & VMMC; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Dental; Laboratory Services; Public Health Services"
1823,Chinambi Rural Health Centre,Health Centre,MOH,Functional,Eastern,Nyimba,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
1277,Sitoti Rural Health Centre,Health Centre,MOH,Functional,Western,Sioma,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
2103,Mnoro Rural Health Centre,Health Centre,MOH,Functional,Eastern,Chipangali,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Dental; Laboratory Services; Public Health Services; ART & VMMC"
3929,Movu Health Post,Health Post,MOH,Functional,Muchinga,Nakonde,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4188,Chilwa Health Post,Health Post,MOH,Functional,Copperbelt,Lufwanyama,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3099,KCM Nkana Clinic,Health Centre,Private,Functional,Copperbelt,Kitwe,N/A
3614,Sichilima Health Post,Health Post,MOH,Functional,Eastern,Lusangazi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1596,Human Service Trust Hospice,Health Post,Faith Based,Functional,Lusaka,Chilanga,N/A
1515,Mabua Health Post,Health Post,MOH,Functional,Western,Sikongo,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
2551,Ipafu Rural Health Centre,Health Centre,Faith Based,Functional,Copperbelt,Chingola,N/A
3598,Kalasakando Health Post,Health Post,MOH,Functional,Luapula,Chembe,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services; General Practice Consultation & Treatment; Maternity"
1032,Siawaza Health Post,Health Post,MOH,Functional,Southern,Sinazongwe,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3968,Mumbezhi Zambia National Service Rural Health Centre,Health Centre,MOH,Functional,North-Western,Kalumbila,"Dental; Laboratory Services; Public Health Services; ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
4281,Marie Stopes Family Health Centre,General clinic,Private,Functional,Lusaka,Lusaka,N/A
2543,Lumwana East Rural Health Centre,Health Centre,MOH,Functional,North-Western,Kalumbila,"Dental; Laboratory Services; Public Health Services; ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2249,Section 23 Urban Health Centre,Health Centre,Private,Functional,Copperbelt,Luanshya,N/A
1365,Mainza Health Post,Health Post,MOH,Functional,Southern,Mazabuka,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
4053,Katunda Rural Health Centre,Health Centre,MOH,Functional,Western,Luampa,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
1741,Simaa Health Post,Health Post,MOH,Functional,Western,Limulunga,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
2308,Ndola Girls Health Post,Health Post,MOH,Functional,Copperbelt,Ndola,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2662,Kapata Rural Health Center,Health Centre,MOH,Functional,Luapula,Samfya,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Dental; Laboratory Services; Public Health Services; ART & VMMC"
3425,Nakonde Hospital Affiliated Health Center,Health Centre,MOH,Functional,Muchinga,Nakonde,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3464,Kalela health post,Health Post,MOH,Functional,Muchinga,Chinsali,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3905,Andeson Clinic,General clinic,Private,Functional,Lusaka,Lusaka,N/A
2925,Sampa Health Post,Health Post,MOH,Functional,Northern,Mungwi,"General Practice Consultation & Treatment; Public Health Services; Maternity; MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3100,Chinan Urban Health Centre,Health Centre,Private,Functional,Copperbelt,Ndola,N/A
2145,Mbenjele Health Post,Health Post,MOH,Functional,Eastern,Chipangali,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Public Health Services"
1719,N'uma Health Post,Health Post,MOH,Functional,Western,Kalabo,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Public Health Services"
3596,Ndakala Health Post,Health Post,MOH,Functional,Northern,Mungwi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1704,Kalabo District Hospital,1st Level Hospital,MOH,Functional,Western,Kalabo,Resuscitation and Emergency Medicine; Surgery; Critical Care Medicine (High Dependency Care); Internal Medicine (Infectious and None Communicable Medicine); Laboratory Services; Dental; Ophthalmology; Obstetrics and Gynaecology; Palliative care services; Patient Referral and Transfer; Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Imaging such as radiology and sonography (Simple and Special)
2302,Masala Main Urban Health Centre,Health Centre,MOH,Functional,Copperbelt,Ndola,"Public Health Services; General Practice Consultation & Treatment; ART & VMMC; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services"
1194,Lyabangu Health Post,Health Post,MOH,Functional,Western,Sioma,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Public Health Services"
4356,Wellspring Specialty Clinic,General clinic,Private,Permanent closure,Lusaka,Lusaka,N/A
3574,Tuyu Rural Health Center,Health Centre,MOH,Functional,Central,Luano,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Dental; Laboratory Services; Public Health Services; ART & VMMC"
2241,Kamirenda Urban Health Centre,Health Centre,MOH,Functional,Copperbelt,Luanshya,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Dental; Laboratory Services; ART & VMMC; Public Health Services"
4227,Clear Vision Clinic,General clinic,Private,Functional,Lusaka,Lusaka,N/A
3895,Makeni Villa Health Post,Health Post,MOH,Functional,Lusaka,Lusaka,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1735,Nyengo Rural Health Centre,Health Centre,MOH,Functional,Western,Sikongo,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Dental; Laboratory Services; ART & VMMC; Public Health Services"
3559,Maveve Health Post,Health Post,MOH,Functional,North-Western,Kabompo,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2696,Samfya District Hospital,1st Level Hospital,MOH,Functional,Luapula,Samfya,Surgery; Resuscitation and Emergency Medicine; Critical Care Medicine (High Dependency Care); Internal Medicine (Infectious and None Communicable Medicine); Laboratory Services; Dental; Ophthalmology; Obstetrics and Gynaecology; Palliative care services; Patient Referral and Transfer; Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Imaging such as radiology and sonography (Simple and Special)
3359,Salamo Heath Post,Health Post,MOH,Functional,Muchinga,Lavushi Manda,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2237,Chaisa Urban Health Centre,Health Centre,MOH,Functional,Copperbelt,Luanshya,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
1601,Mphuka Rural Health Centre,Health Centre,MOH,Functional,Lusaka,Luangwa,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3394,Mwika Rural Health Centre,Health Centre,MOH,Functional,Muchinga,Shiwang'andu,"General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; ART & VMMC; Public Health Services; Dental; Laboratory Services"
1136,Rural Resettlement Health Post,Health Post,MOH,Functional,Southern,Kalomo,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3581,Nansenga Health Centre,Health Centre,MOH,Functional,Southern,Itezhi-Tezhi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
4373,Mtizwa Rural Health Post,Health Post,MOH,Functional,Eastern,Chipata,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4185,Chimoto Health Post,Health Post,MOH,Functional,Copperbelt,Lufwanyama,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2385,Mpelembe Secondary School Health post,Health Post,Private,Functional,Copperbelt,Kitwe,N/A
1627,Namundale Health Post,Health Post,MOH,Functional,Western,Kalabo,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
2377,Kalulushi General Hospital,2nd Level Hospital,MOH,Functional,Copperbelt,Kalulushi,Imaging such as radiology and sonography including CT Scan (Simple nd Special); Blood Bank Hub-Provincial Centre; Mortuary Services; Laboratory Services; Internal Medicine (Infectious and Non-Communicable Medicine); Obstetrics and Gynaecology; Pediatrics; Surgery; Critical Care Medicine (Intensive and High Dependency Care); Dental; Ophthalmology; Palliative care services; Patient Referral and Transfer; Physiotherapy and Rehabilitation; Psychiatry and Mental Health
1784,Katoya Health Post,Health Post,MOH,Functional,Western,Kaoma,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
1903,Lunyati Rural Health Centre,Health Centre,MOH,Functional,Western,Kaoma,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
2818,Kanyelele Rural Health Centre,Health Centre,MOH,Functional,Eastern,Chama,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
1491,Mukukutu Health Post,Health Post,MOH,Functional,Western,Nalolo,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Public Health Services"
3602,Chipete Rural Health Centre,Health Centre,MOH,Functional,Luapula,Chembe,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
1856,Natuseko Urban Health Centre,Health Centre,MOH,Functional,Central,Kabwe,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Laboratory Services; ART & VMMC"
4318,Zatulate Health Centre,Health Centre,Private,Functional,Lusaka,Lusaka,N/A
3928,Mipulya Health Post,Health Post,MOH,Functional,Muchinga,Nakonde,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4319,Zhanga Ying Surgery,General clinic,Private,Functional,Lusaka,Lusaka,N/A
1941,Chilenga Health Post,Health Post,MOH,Functional,Eastern,Chadiza,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
2290,Masala New Urban Health Centre,Health Centre,MOH,Functional,Copperbelt,Ndola,"Dental; Laboratory Services; Public Health Services; ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
3398,Mukwikile Health Post,Health Post,MOH,Functional,Muchinga,Shiwang'andu,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Public Health Services"
4078,Nangweshi Rural Health Centre,Health Centre,MOH,Functional,Western,Sioma,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
2944,Makasa Rural Health Centre,Health Centre,MOH,Functional,Northern,Mungwi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
1850,Mukobeko Township Urban Health Centre,Health Centre,MOH,Functional,Central,Kabwe,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Laboratory Services; ART & VMMC"
2712,Mibenge Rural Health Center,Health Centre,MOH,Functional,Luapula,Mansa,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3593,Chilombwa Health Post,Health Post,MOH,Functional,Northern,Mungwi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
