Facility ID,Facility Name,Facility Type,Ownership,Operational Status,Province,District,Services
3207,Yosamu Health Post,Health Post,MOH,Functional,Muchinga,Shiwang'andu,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services; General Practice Consultation & Treatment; Maternity"
3823,Kansamfu Health Post,Health Post,MOH,Functional,Copperbelt,Masaiti,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3920,Nachisungu Health Post,Health Post,MOH,Functional,Muchinga,Isoka,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
2081,Kapata Urban Health Centre,Health Centre,MOH,Functional,Eastern,Chipata,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
4233,Wellspring Speciality Hospital,1st Level Hospital,Private,Functional,Lusaka,Lusaka,N/A
4271,Hillview Health Care,Health Centre,Private,Permanent closure,Lusaka,Lusaka,N/A
2692,Matenda Health Post,Health Post,MOH,Functional,Luapula,Mansa,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1151,Kazimaulu Rural Health Centre,Health Centre,MOH,Functional,Southern,Pemba,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
1745,Namilangi Rural Health Centre,Health Centre,MOH,Functional,Western,Nkeyema,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3817,Bangwe Health Post,Health Post,MOH,Functional,Copperbelt,Masaiti,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3952,Ndole  Health Post,Health Post,MOH,Functional,Northern,Nsama,"General Practice Consultation & Treatment; Maternity; Public Health Services; MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2738,Mndalanga Health Post,Health Post,MOH,Functional,Eastern,Chama,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
