facility_code,service_category,service_group,service_detail
2750,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2750,Public Health Services,Public Health Services,Public Health Services
2978,Public Health Services,Public Health Services,Public Health Services
2978,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2978,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2978,Maternity,Maternity,Maternity
2439,ART & VMMC,ART & VMMC,ART & VMMC
2439,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2439,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2439,Maternity,Maternity,Maternity
2439,Dental,Dental,Dental
2439,Laboratory Services,Laboratory Services,Laboratory Services
2439,Public Health Services,Public Health Services,Public Health Services
1356,Public Health Services,Public Health Services,Public Health Services
1356,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1356,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1356,Maternity,Maternity,Maternity
1356,Dental,Dental,Dental
1356,Laboratory Services,Laboratory Services,Laboratory Services
1356,ART & VMMC,ART & VMMC,ART & VMMC
1305,ART & VMMC,ART & VMMC,ART & VMMC
1305,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1305,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1305,Maternity,Maternity,Maternity
1305,Dental,Dental,Dental
1305,Laboratory Services,Laboratory Services,Laboratory Services
1305,Public Health Services,Public Health Services,Public Health Services
2143,ART & VMMC,ART & VMMC,ART & VMMC
2143,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2143,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2143,Maternity,Maternity,Maternity
2143,Dental,Dental,Dental
2143,Laboratory Services,Laboratory Services,Laboratory Services
2143,Public Health Services,Public Health Services,Public Health Services
3190,Maternity,Maternity,Maternity
3190,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3190,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3190,Public Health Services,Public Health Services,Public Health Services
2745,ART & VMMC,ART & VMMC,ART & VMMC
2745,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2745,Maternity,Maternity,Maternity
2745,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2745,Dental,Dental,Dental
2745,Public Health Services,Public Health Services,Public Health Services
2745,Laboratory Services,Laboratory Services,Laboratory Services
