facility_code,service_category,service_group,service_detail
4172,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
4172,Public Health Services,Public Health Services,Public Health Services
2134,ART & VMMC,ART & VMMC,ART & VMMC
2134,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2134,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2134,Maternity,Maternity,Maternity
2134,Dental,Dental,Dental
2134,Laboratory Services,Laboratory Services,Laboratory Services
2134,Public Health Services,Public Health Services,Public Health Services
3829,Public Health Services,Public Health Services,Public Health Services
3829,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3829,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3829,Maternity,Maternity,Maternity
3829,Dental,Dental,Dental
3829,Laboratory Services,Laboratory Services,Laboratory Services
3829,ART & VMMC,ART & VMMC,ART & VMMC
1030,Public Health Services,Public Health Services,Public Health Services
1030,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1030,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1030,Maternity,Maternity,Maternity
4096,Public Health Services,Public Health Services,Public Health Services
4096,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
