facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status,country
"CANOSSA","100675-8","Dispensary","Private",-3.45802,36.71262,"Arusha","Operating","Tanzania"
"ARUSHA LIFECARE MEDICAL  CENTRE","124407-8","Health Laboratory","Private",-3.37721,36.67611,"Arusha","Operating","Tanzania"
"TERRAT","107809-6","Dispensary","Public",-3.454225,36.652426,"Arusha","Operating","Tanzania"
"COGI DARAJA II","100909-1","Dispensary","Private",-3.387378,36.690832,"Arusha","Operating","Tanzania"
"NADOSOITO","109516-5","Dispensary","Public",-3.493953,36.681011,"Arusha","Operating","Tanzania"
"AFYA MAX","111552-6","Clinic","Private",-3.365947,36.675616,"Arusha","Operating","Tanzania"
"KAM Med","102269-8","Health Center","Private",-3.378285,36.696048,"Arusha","Operating","Tanzania"
"KANAAN LAND","111489-1","Dispensary","Private",-3.405768,36.644791,"Arusha","Operating","Tanzania"
"KIMAHAMA","111784-5","Clinic","Private",-3.367506,36.68474,"Arusha","Operating","Tanzania"
"SHAMSI","112007-0","Health Laboratory","Private",-3.37261,36.66517,"Arusha","Operating","Tanzania"
"ARUSHA LUTHERAN MEDICAL CENTRE CENTER","100188-2","Hospital","Private",-3.36626,36.68231,"Arusha","Operating","Tanzania"
"AGA KHAN","108577-8","Clinic","Private",-3.37077,36.68944,"Arusha","Operating","Tanzania"
"MOSHONO","105312-3","Dispensary","Public",-3.40497,36.7301,"Arusha","Operating","Tanzania"
"AICC","109601-5","Hospital","Public",-3.37481,36.69946,"Arusha","Operating","Tanzania"
"SAFARI B","123541-5","Health Laboratory","Private",-3.39156,36.71307,"Arusha","Operating","Tanzania"
"JOBI","111844-7","Dispensary","Private",-3.375044,36.676086,"Arusha","Operating","Tanzania"
"ST. MICHAEL HEALTH CARE","124006-8","Dispensary","Private",-3.38433,36.67871,"Arusha","Operating","Tanzania"
"MORDEN","111997-3","Health Laboratory","Private",-3.37521,36.67407,"Arusha","Operating","Tanzania"
"ARUSHA CITY","112384-3","Hospital","Public",-3.419736,36.704657,"Arusha","Operating","Tanzania"
"AFYARISE","124406-0","Health Laboratory","Private",-6.45679,38.21149,"Arusha","Operating","Tanzania"
"HOLY FAMILY","101379-6","Clinic","Private",-3.41223,36.70756,"Arusha","Operating","Tanzania"
"FM HEALTH CARE","113632-4","Health Laboratory","Private",-3.36734,36.72587,"Arusha","Operating","Tanzania"
"OLKEREYAN","106910-3","Dispensary","Public",-3.43613,36.72062,"Arusha","Operating","Tanzania"
"SMART","113640-7","Health Laboratory","Private",-3.405221,36.645555,"Arusha","Operating","Tanzania"
"TBL","111223-4","Dispensary","Private",-3.38329,36.69911,"Arusha","Operating","Tanzania"
"MAJENGO","113622-5","Health Laboratory","Private",-3.37093,36.66064,"Arusha","Operating","Tanzania"
"TOTAL CARE","107868-2","Health Center","Private",-3.39064,36.70467,"Arusha","Operating","Tanzania"
"ARUSHA HEALTH CENTRE FOR WOMEN","100187-4","Health Center","Private",-3.36106,36.68535,"Arusha","Operating","Tanzania"
"ARUSHA X-RAY CENTRE","100192-4","Dispensary","Private",-3.36579,36.699,"Arusha","Operating","Tanzania"
"MATEVES","109812-8","Dispensary","Public",-3.359082,36.601756,"Arusha","Operating","Tanzania"
"BARAA","113551-6","Health Laboratory","Private",-3.37256,36.7378,"Arusha","Operating","Tanzania"
"AVETI","110873-7","Clinic","Private",-3.36314,36.69035,"Arusha","Operating","Tanzania"
"KIJENGE RC","102755-6","Dispensary","Private",-3.3816,36.70815,"Arusha","Operating","Tanzania"
"St Joseph Health Care International","112912-1","Hospital","Private",-3.360253,36.658594,"Arusha","Operating","Tanzania"
"TANGANYIKA PACKERS","109790-6","Dispensary","Public",-3.408887,36.745975,"Arusha","Operating","Tanzania"
"MICO PALLOT","112001-3","Health Laboratory","Private",-3.38373,36.67416,"Arusha","Operating","Tanzania"
"LEVOLOSI","103490-9","Health Center","Public",-3.37227,36.6799,"Arusha","Operating","Tanzania"
"DOSIL","110462-9","Dispensary","Private",-3.4102,36.658531,"Arusha","Operating","Tanzania"
"BETHELI","113627-4","Health Laboratory","Private",-3.386244,36.726143,"Arusha","Operating","Tanzania"
"BARAA","121157-2","Dispensary","Public",-3.3794400000000002,36.73552,"Arusha","Operating","Tanzania"
"BANK OF TANZANIA","112918-8","Clinic","Private",-3.36951,36.69325,"Arusha","Operating","Tanzania"
"MARIE STOPES","104331-4","Dispensary","Private",-3.375013,36.684394,"Arusha","Operating","Tanzania"
"ITHNAASHERI CHARITABLE","101462-0","Clinic","Private",-3.37424,36.68132,"Arusha","Operating","Tanzania"
"ADN CARE","123643-9","Health Center","Private",-3.37589,36.70298,"Arusha","Operating","Tanzania"
"OLD ARUSHA","106891-5","Health Center","Private",-3.37439,36.69686,"Arusha","Operating","Tanzania"
"ST RAPHAEL","111488-3","Dispensary","Private",-3.36065,36.69618,"Arusha","Operating","Tanzania"
"SMART","113629-0","Clinic","Private",-3.37187,36.69877,"Arusha","Operating","Tanzania"
"NORLAN","122602-6","Dispensary","Private",-3.45573,36.72421,"Arusha","Operating","Tanzania"
"HAYAAT","120897-4","Clinic","Private",-3.37051,36.69912,"Arusha","Operating","Tanzania"
"VICTORY","113549-0","Health Laboratory","Private",-3.37681,36.70717,"Arusha","Operating","Tanzania"
"OLORIEN COMMUNITY","110725-9","Dispensary","Private",-3.38774,36.71161,"Arusha","Operating","Tanzania"
"SEKEI","111974-2","Health Laboratory","Private",-3.36287,36.70447,"Arusha","Operating","Tanzania"
"JMS HUMAN HEALTH","111491-7","Dispensary","Private",-3.365352,36.689535,"Arusha","Operating","Tanzania"
"LARUSA","112836-2","Clinic","Private",-3.369451,36.686845,"Arusha","Operating","Tanzania"
"COGI AMAN OLASITI","110831-5","Dispensary","Private",-3.41753,36.65603,"Arusha","Operating","Tanzania"
"CITY CENTRE","111964-3","Health Laboratory","Private",-3.36786,36.68499,"Arusha","Operating","Tanzania"
"NGARENARO","106358-5","Health Center","Public",-3.37346,36.68146,"Arusha","Operating","Tanzania"
"NZUNDUKA","111956-9","Health Laboratory","Private",-3.38012,36.65985,"Arusha","Operating","Tanzania"
"FARAJA","101134-5","Dispensary","Private",-3.37231,36.68135,"Arusha","Operating","Tanzania"
"HEIN","122268-6","Clinic","Private",-3.36193,36.69596,"Arusha","Operating","Tanzania"
"FORWARD MODERN","113550-8","Health Laboratory","Private",-3.39125,36.673492,"Arusha","Operating","Tanzania"
"POLICE","107008-5","Dispensary","Public",-3.36811,36.69189,"Arusha","Operating","Tanzania"
"MKONOO","105112-7","Health Center","Public",-3.46341,36.69805,"Arusha","Operating","Tanzania"
"WELINESS","113623-3","Dispensary","Private",-3.386351,36.660058,"Arusha","Operating","Tanzania"
"AVINTA CARE","113552-4","Health Laboratory","Private",-3.37622,36.7024,"Arusha","Operating","Tanzania"
"A TO Z","121333-9","Dispensary","Private",-3.38333,36.59226,"Arusha","Operating","Tanzania"
"KIAZE","111998-1","Health Laboratory","Private",-3.36279,36.67261,"Arusha","Operating","Tanzania"
"HEALTH4ALL","113628-2","Clinic","Private",-3.373656,36.699567,"Arusha","Operating","Tanzania"
"DARAJA II","109552-0","Health Center","Public",-3.38057,36.68765,"Arusha","Operating","Tanzania"
"SOMBETINI","107527-4","Dispensary","Public",-3.39463,36.665003,"Arusha","Operating","Tanzania"
"CABRIM","123163-8","Dispensary","Private",-3.40549,36.66653,"Arusha","Operating","Tanzania"
"MOSHONO","114594-5","Health Center","Public",-3.44421,36.7151,"Arusha","Operating","Tanzania"
"GLORIA","101224-4","Dispensary","Private",-3.361671,36.697168,"Arusha","Operating","Tanzania"
"YOUHEAL","123183-6","Clinic","Private",-3.38578,36.72323,"Arusha","Operating","Tanzania"
"MICO SAJE","113542-5","Dispensary","Private",-3.430558,36.678524,"Arusha","Operating","Tanzania"
"THEMI","107817-9","Health Center","Public",-3.39838,36.70107,"Arusha","Operating","Tanzania"
"SHAMAH","110726-7","Dispensary","Private",-3.384721,36.681034,"Arusha","Operating","Tanzania"
"CITYSMILE","124005-0","Clinic","Private",-3.38156,36.70945,"Arusha","Operating","Tanzania"
"USANDA","112005-4","Health Laboratory","Private",-3.42054,36.65796,"Arusha","Operating","Tanzania"
"ST GEMA","114497-1","Health Center","Private",-3.37477,36.69964,"Arusha","Operating","Tanzania"
"FMCARE","122943-4","Dispensary","Private",-3.36729,36.43335,"Arusha","Operating","Tanzania"
"DARAJA MBILI","121091-3","Dispensary","Private",-3.42678,36.66784,"Arusha","Operating","Tanzania"
"DELIGHT","120470-0","Clinic","Private",-3.39329,36.70503,"Arusha","Operating","Tanzania"
"EL-SHADAI","121380-0","Dispensary","Private",-3.36256,36.67537,"Arusha","Operating","Tanzania"
"UPONE CHARITABLE","108142-1","Dispensary","Private",-3.376765,36.660904,"Arusha","Operating","Tanzania"
"KIMANDOLU","109983-7","Dispensary","Public",-3.371417,36.722325,"Arusha","Operating","Tanzania"
"Heri","101355-6","Dispensary","Private",-3.38638,36.68523,"Arusha","Operating","Tanzania"
"FMM","110721-8","Clinic","Private",-3.362834,36.7009,"Arusha","Operating","Tanzania"
"SINONI","110727-5","Dispensary","Private",-3.41708,36.6876,"Arusha","Operating","Tanzania"
"BIKIRA MARIA MAMA WA HURUMA","100364-9","Health Center","Private",-3.36571,36.68761,"Arusha","Operating","Tanzania"
"AGA KHAN","123471-5","Clinic","Private",-3.37077,36.68944,"Arusha","Operating","Tanzania"
"SAKINA","110911-5","Dispensary","Private",-3.36137,36.67014,"Arusha","Operating","Tanzania"
"WELL POINT","110919-8","Dispensary","Private",-3.40508,36.705694,"Arusha","Operating","Tanzania"
"KIVUYO HOPE","124330-2","Health Laboratory","Private",-3.36425,36.58232,"Arusha","Operating","Tanzania"
"KALOLENI","102258-1","Health Center","Public",-3.369322,36.688577,"Arusha","Operating","Tanzania"
"UPENDO","108118-1","Dispensary","Private",-3.360182,36.696237000000004,"Arusha","Operating","Tanzania"
"SUNBEAM OPTICAL CENTRE","112314-0","Clinic","Private",-3.374242,36.684171,"Arusha","Operating","Tanzania"
"LC AFYAPRIME MEDICARE","124022-5","Dispensary","Private",-3.25451,36.40291,"Arusha","Operating","Tanzania"
"VISION CARE","112316-5","Clinic","Private",-3.37181,36.68789,"Arusha","Operating","Tanzania"
"THE DENTAL PLAZA LIMITED","111255-6","Clinic","Private",-3.40854,36.70658,"Arusha","Operating","Tanzania"
"ELERAI","109982-9","Dispensary","Public",-3.368833,36.658632,"Arusha","Operating","Tanzania"
"HIGHWAY HEALTH","111957-7","Health Laboratory","Private",-3.39452,36.66518,"Arusha","Operating","Tanzania"
"CURARE","111958-5","Health Laboratory","Private",-3.37033,36.68735,"Arusha","Operating","Tanzania"
"TAHFIFU","111960-1","Health Laboratory","Private",-3.37467,36.67456,"Arusha","Operating","Tanzania"
"N.G LIGHT","111783-7","Dispensary","Private",-3.44181,36.66592,"Arusha","Operating","Tanzania"
"SUNNI MUSLIM CHARITABLE","108580-2","Clinic","Private",-3.3717800000000002,36.68668,"Arusha","Operating","Tanzania"
"BUTURI","111959-3","Health Laboratory","Private",-3.38578,36.70966,"Arusha","Operating","Tanzania"
"ARUSHA JUNIOR","111965-0","Dispensary","Private",-3.368606,36.681106,"Arusha","Operating","Tanzania"
"AMANI GE","111966-8","Health Laboratory","Private",-3.36825,36.68539,"Arusha","Operating","Tanzania"
"NEEMA","111983-3","Health Laboratory","Private",-3.37232,36.68052,"Arusha","Operating","Tanzania"
"SOFTMED","111996-5","Health Laboratory","Private",-3.43811,36.70531,"Arusha","Operating","Tanzania"
"BARAA RC","100320-1","Dispensary","Private",-3.38882,36.73671,"Arusha","Operating","Tanzania"
"LCC HURUMA","110715-0","Dispensary","Private",-3.418995,36.658198,"Arusha","Operating","Tanzania"
"SAMMY EYE CARE","112315-7","Clinic","Private",-3.36999,36.685859,"Arusha","Operating","Tanzania"
"VISION PERFECT LIMITED","112318-1","Clinic","Private",-3.37217,36.69415,"Arusha","Operating","Tanzania"
"VISION CARE","123188-5","Clinic","Private",-3.39788,36.70476,"Arusha","Operating","Tanzania"
"OLORIENI","109980-3","Dispensary","Public",-3.385231,36.714165,"Arusha","Operating","Tanzania"
"METROPOLIS HEALTH CARE  TANZANIA LIMITED","121972-4","Health Laboratory","Private",-3.36686,36.68834,"Arusha","Operating","Tanzania"
"STAR OPTOMETRY","112317-3","Clinic","Private",-3.361102,36.684911,"Arusha","Operating","Tanzania"
"GRAN MELIA ARUSHA","124144-7","Clinic","Private",-3.37079,36.70698,"Arusha","Operating","Tanzania"
"EBEN","101053-7","Dispensary","Private",-3.36372,36.68965,"Arusha","Operating","Tanzania"
"MKOMBOZI","122343-7","Clinic","Private",-3.41733,36.69166,"Arusha","Operating","Tanzania"
"SAMARITAN VILLAGE","114422-9","Dispensary","Private",-3.40194,36.74548,"Arusha","Operating","Tanzania"
"MAGEREZA","109439-0","Dispensary","Public",-3.369214,36.619845,"Arusha","Operating","Tanzania"
"BARAKA","114498-9","Dispensary","Private",-3.403896,36.6787,"Arusha","Operating","Tanzania"
"AMENAH'S","124027-4","Dispensary","Private",-3.37603,36.66193,"Arusha","Operating","Tanzania"
"MURIET","112377-7","Health Center","Public",-3.440929,36.654003,"Arusha","Operating","Tanzania"
"AGAPE","111982-5","Health Laboratory","Private",-3.396758,36.658008,"Arusha","Operating","Tanzania"
"SANAWARI","107272-7","Dispensary","Private",-3.362164,36.695852,"Arusha","Operating","Tanzania"
"PHYSIOCARE","121378-4","Physiotherapy Clinic","Private",-3.39398,36.70832,"Arusha","Operating","Tanzania"
"AVINTACARE MEDICAL CENTRE","120339-7","Health Center","Private",-3.375,36.7025,"Arusha","Operating","Tanzania"
"DII","123224-8","Clinic","Private",-3.39384,36.70809,"Arusha","Operating","Tanzania"
"MOIVARO","105272-9","Health Center","Public",-3.39281,36.7559,"Arusha","Operating","Tanzania"
"NJIRO SDA","110823-2","Dispensary","Private",-3.40858,36.70727,"Arusha","Operating","Tanzania"
"HAYAAT","113630-8","Clinic","Private",-3.37051,36.69911,"Arusha","Operating","Tanzania"
"PRINCE","113543-3","Health Laboratory","Private",-3.37626,36.66222,"Arusha","Operating","Tanzania"
"TABASAMU","120877-6","Clinic","Private",-3.3667,36.68798,"Arusha","Operating","Tanzania"
"ANNOINTING MEDICAL","122847-7","Dispensary","Private",-3.40767,36.67525,"Arusha","Operating","Tanzania"
"OLMOTI","112378-5","Dispensary","Public",-3.426427,36.593784,"Arusha","Operating","Tanzania"
"ST. ELIZABETH","107581-1","Hospital","Private",-3.368883,36.677593,"Arusha","Operating","Tanzania"
"FIRST CARE","120261-3","Dispensary","Private",-3.39336,36.67896,"Arusha","Operating","Tanzania"
"HIGHWAY","110723-4","Dispensary","Private",-3.3729,36.68527,"Arusha","Operating","Tanzania"
"PATRICK PEYTON RC","120757-0","Health Center","Private",-3.40019,36.66621,"Arusha","Operating","Tanzania"
"FAITH","101121-2","Dispensary","Private",-3.36737,36.72316,"Arusha","Operating","Tanzania"
"CHARITY MODERN","111963-5","Health Laboratory","Private",-3.38155,36.66116,"Arusha","Operating","Tanzania"
"LULU MEDICAL","103705-0","Dispensary","Private",-3.37824,36.6625,"Arusha","Operating","Tanzania"
"RESPECT","113547-4","Health Laboratory","Private",-3.38497,36.68385,"Arusha","Operating","Tanzania"
"SUNSHINE","120895-8","Dispensary","Private",-3.40321,36.75906,"Arusha","Operating","Tanzania"
"GEMSA","113625-8","Clinic","Private",-3.37508,36.69968,"Arusha","Operating","Tanzania"
"ZEBRA","110921-4","Clinic","Private",-3.366802,36.684627,"Arusha","Operating","Tanzania"
"ARUSHA SCHOOL","100190-8","Dispensary","Public",-3.3742,36.69426,"Arusha","Operating","Tanzania"
"KUHENGA","113548-2","Health Laboratory","Private",-3.36363,36.66777,"Arusha","Operating","Tanzania"
"TRUE","113544-1","Health Laboratory","Private",-3.41618,36.65687,"Arusha","Operating","Tanzania"
"MT. MERU","105316-4","Hospital","Public",-3.36642,36.69498,"Arusha","Operating","Tanzania"
"NGULELO","112832-1","Clinic","Private",-3.36597,36.72672,"Arusha","Operating","Tanzania"
"LANCET","112000-5","Health Laboratory","Private",-3.37264,36.68842,"Arusha","Operating","Tanzania"
"ROLAND HEALTH CARE","123714-8","Clinic","Private",-3.39363,36.70389,"Arusha","Operating","Tanzania"
"SHREE HINDU","107442-6","Hospital","Private",-3.37712,36.68922,"Arusha","Operating","Tanzania"
"NSK","111486-7","Hospital","Private",-3.380651,36.684811,"Arusha","Operating","Tanzania"
"LANCET GEMSA","123008-5","Health Laboratory","Private",-3.37508,36.69968,"Arusha","Operating","Tanzania"
"HEALTH-4-ALL","122784-2","Maternity Home","Private",-3.22245,36.41591,"Arusha","Operating","Tanzania"
"ORBIT","120896-6","Clinic","Private",-3.37051,36.69912,"Arusha","Operating","Tanzania"
"WANJIRO","113626-6","Health Laboratory","Private",-3.416383,36.704574,"Arusha","Operating","Tanzania"
"ST. THOMAS","107637-1","Health Center","Private",-3.372425,36.688475,"Arusha","Operating","Tanzania"
"MOYO MEDICARE","112930-3","Clinic","Private",-3.364268,36.698327,"Arusha","Operating","Tanzania"
"HOPE","111782-9","Dispensary","Private",-3.424183,36.658004,"Arusha","Operating","Tanzania"
"QUBE","113631-6","Health Laboratory","Private",-3.37452,36.73815,"Arusha","Operating","Tanzania"
"BANGATA LUTHERAN","100309-4","Dispensary","Private",-3.33582,36.74476,"Arusha","Operating","Tanzania"
"SELIAN","109595-9","Hospital","Private",-3.32548,36.6501,"Arusha","Operating","Tanzania"
"ASHENGAI","113656-3","Health Laboratory","Private",-3.38493,36.58884,"Arusha","Operating","Tanzania"
"KIMNYAKI MAASAI","102913-1","Dispensary","Private",-3.31311,36.64154,"Arusha","Operating","Tanzania"
"KIVULUL","121779-3","Dispensary","Public",-3.34075,36.70718,"Arusha","Operating","Tanzania"
"KISONGO","113654-8","Health Laboratory","Private",-3.372808,36.571935,"Arusha","Operating","Tanzania"
"PAMOJA","111143-4","Clinic","Private",-3.31926,36.63523,"Arusha","Operating","Tanzania"
"TUMAINIJEMA","111967-6","Health Laboratory","Private",-3.35025,36.64896,"Arusha","Operating","Tanzania"
"LEMGUR","124255-1","Dispensary","Public",-3.42247,36.57694,"Arusha","Operating","Tanzania"
"ILBORU SECONDARY","121490-7","Dispensary","Public",-3.34715,36.68728,"Arusha","Operating","Tanzania"
"ESSOKA","109788-0","Dispensary","Private",-3.60492,36.66354,"Arusha","Operating","Tanzania"
"ILKREVI","101745-8","Dispensary","Public",-3.37545,36.68302,"Arusha","Operating","Tanzania"
"SAMBASHA","109545-4","Dispensary","Public",-3.293279,36.673411,"Arusha","Operating","Tanzania"
"NGIRES","106388-2","Dispensary","Public",-3.33731,36.7346,"Arusha","Operating","Tanzania"
"KISONGO CHARITABLE","109536-3","Health Center","Private",-3.37211,36.57025,"Arusha","Operating","Tanzania"
"COGI NGARAMTONI","100916-6","Dispensary","Private",-3.31571,36.6388,"Arusha","Operating","Tanzania"
"OLEMASEKE","123170-3","Dispensary","Private",-3.35735,36.68373,"Arusha","Operating","Tanzania"
"NGORBOBO","106418-7","Dispensary","Public",-3.37559,36.57303,"Arusha","Operating","Tanzania"
"OLDONYO SAMBU","106900-4","Health Center","Public",-3.15592001,36.68288001,"Arusha","Operating","Tanzania"
"MUUNGANO","105727-2","Dispensary","Private",-3.45362,36.71341,"Arusha","Operating","Tanzania"
"ILKUROT","121897-3","Dispensary","Public",-3.21224,36.62733,"Arusha","Operating","Tanzania"
"OLKOKOLA","106913-7","Health Center","Public",-3.24666,36.64528,"Arusha","Operating","Tanzania"
"MBUYUNI","104673-9","Health Center","Public",-3.574294,36.65867,"Arusha","Operating","Tanzania"
"LENGIJAVE","103468-5","Dispensary","Public",-3.22259,36.6029,"Arusha","Operating","Tanzania"
"OLDONYOWASI","106904-6","Dispensary","Public",-3.16025001,36.703001,"Arusha","Operating","Tanzania"
"DR MASUDI","120304-1","Dispensary","Private",-3.37367,36.57231,"Arusha","Operating","Tanzania"
"ZACI ILKIDING'A","109693-2","Dispensary","Private",-3.32286,36.68443,"Arusha","Operating","Tanzania"
"MOUNT MERU","111144-2","Dispensary","Private",-3.362067,36.704846,"Arusha","Operating","Tanzania"
"MIRONGOINE","109813-6","Dispensary","Private",-3.60759,36.66324,"Arusha","Operating","Tanzania"
"NAMAYANI","123975-5","Dispensary","Private",-3.39563,36.53261,"Arusha","Operating","Tanzania"
"ANGESCENCIA","124385-6","Dispensary","Private",-3.33867,36.69987,"Arusha","Operating","Tanzania"
"ST.BAJO","123273-5","Health Laboratory","Private",-3.36133,36.70523,"Arusha","Operating","Tanzania"
"OLGILAI","106906-1","Dispensary","Public",-3.34238,36.72191,"Arusha","Operating","Tanzania"
"KISONGO SDA","107338-6","Dispensary","Private",-3.370954,36.546784,"Arusha","Operating","Tanzania"
"MUNGUSH","105691-0","Dispensary","Public",-3.53059,36.83493,"Arusha","Operating","Tanzania"
"GOOD HOPE FAMILY","120876-8","Dispensary","Private",-3.31192,36.64026,"Arusha","Operating","Tanzania"
"UMOJA","121619-1","Dispensary","Public",-3.33814,36.741954,"Arusha","Operating","Tanzania"
"LESIRAA","103487-5","Dispensary","Public",-3.396869,36.506901,"Arusha","Operating","Tanzania"
"ESTHER NGARAMTONI","109462-2","Dispensary","Public",-3.31241,36.64039,"Arusha","Operating","Tanzania"
"LOVILUKUNY","121896-5","Dispensary","Public",-3.40269,36.54774,"Arusha","Operating","Tanzania"
"M&M KIWERA","103805-8","Dispensary","Private",-3.35912,36.66115,"Arusha","Operating","Tanzania"
"OLCHOROVOSI","110712-7","Dispensary","Public",-3.35641,36.66751,"Arusha","Operating","Tanzania"
"KISONGO LUTHERAN","103131-9","Dispensary","Private",-3.37077,36.58481,"Arusha","Operating","Tanzania"
"NAMELOK","121675-3","Dispensary","Public",-3.13514,36.74372,"Arusha","Operating","Tanzania"
"MIDAWE","120444-5","Dispensary","Public",-3.340105,36.744204,"Arusha","Operating","Tanzania"
"KIGONGONI","124254-4","Dispensary","Public",-3.53682,36.77853,"Arusha","Operating","Tanzania"
"OLTRUMENT","106922-8","Hospital","Public",-3.30344,36.60487,"Arusha","Operating","Tanzania"
"MOIVO","105273-7","Dispensary","Public",-3.350111,36.70016,"Arusha","Operating","Tanzania"
"IMBIBIA","101800-1","Dispensary","Public",-3.265367,36.56532,"Arusha","Operating","Tanzania"
"ELI SPECIALIZED POLYCLINIC","120349-6","Clinic","Private",-3.31736,36.63355,"Arusha","Operating","Tanzania"
"MANYIRE","104283-7","Dispensary","Public",-3.457352,36.805677,"Arusha","Operating","Tanzania"
"SONGAMBELE","124259-3","Health Center","Public",-3.55963,36.81094,"Arusha","Operating","Tanzania"
"OLORIEN","121722-3","Health Center","Public",-3.3226,36.64204,"Arusha","Operating","Tanzania"
"LIKAMBA","103512-0","Dispensary","Public",-3.32382,36.54664,"Arusha","Operating","Tanzania"
"KIOGA","102981-8","Dispensary","Public",-3.32543,36.6982,"Arusha","Operating","Tanzania"
"LAROI","124257-7","Dispensary","Public",-3.49457,36.62384,"Arusha","Operating","Tanzania"
"ILBORU","113650-6","Health Laboratory","Private",-3.35787,36.69103,"Arusha","Operating","Tanzania"
"AFYA","123009-3","Health Laboratory","Private",-3.32831,36.62291,"Arusha","Operating","Tanzania"
"HOREBU HILL","111880-1","Dispensary","Private",-3.31431,36.64286,"Arusha","Operating","Tanzania"
"KISAU","113655-5","Health Laboratory","Private",-3.37465,36.56958,"Arusha","Operating","Tanzania"
"LOSINONI","103589-8","Dispensary","Public",-3.13209,36.72001,"Arusha","Operating","Tanzania"
"EKENYWA","111366-1","Dispensary","Private",-3.304082,36.643429,"Arusha","Operating","Tanzania"
"BANGATA","100308-6","Dispensary","Public",-3.35845,36.74753,"Arusha","Operating","Tanzania"
"MATONYORATA","120769-5","Dispensary","Private",-3.1466,36.69138,"Arusha","Operating","Tanzania"
"BWAWANI","100654-3","Dispensary","Public",-3.60778,36.84283,"Arusha","Operating","Tanzania"
"KISONGO PAG","106947-5","Dispensary","Private",-3.37391,36.57036,"Arusha","Operating","Tanzania"
"ENGORORA","111510-4","Health Center","Public",-3.35498,36.54587,"Arusha","Operating","Tanzania"
"OLDADAI","106898-0","Dispensary","Public",-3.356071,36.73511,"Arusha","Operating","Tanzania"
"UZIMA","123772-6","Dispensary","Private",-3.31571,36.63881,"Arusha","Operating","Tanzania"
"KIMNYAKI","102912-3","Dispensary","Public",-3.307269,36.660028,"Arusha","Operating","Tanzania"
"SEURI","109600-7","Dispensary","Public",-3.30744,36.63943,"Arusha","Operating","Tanzania"
"NDURUMA","106287-6","Health Center","Public",-3.48004,36.79311,"Arusha","Operating","Tanzania"
"MWANDET","105908-8","Dispensary","Public",-3.240352,36.538173,"Arusha","Operating","Tanzania"
"TRAS","113652-2","Health Laboratory","Private",-3.35326,36.69612,"Arusha","Operating","Tanzania"
"FORESTRY TRAINING INSTITUTE OLMOTONYI","106917-8","Dispensary","Public",-3.29021,36.65643,"Arusha","Operating","Tanzania"
"OLJORO","109720-3","Dispensary","Public",-3.54043,36.65061,"Arusha","Operating","Tanzania"
"ILBORU","101722-7","Dispensary","Private",-3.35361,36.68923,"Arusha","Operating","Tanzania"
"THEMI YA SIMBA","107818-7","Dispensary","Public",-3.58101,36.78534001,"Arusha","Operating","Tanzania"
"MIRONGOINE GVT","124258-5","Dispensary","Public",-3.60775,36.66359,"Arusha","Operating","Tanzania"
"ENGUTUKOITI","124256-9","Dispensary","Public",-3.08383,36.74951,"Arusha","Operating","Tanzania"
"COGI OLDONYOSAMBU","100918-2","Dispensary","Private",-3.14588,36.69191,"Arusha","Operating","Tanzania"
"ILKERIN","121773-6","Dispensary","Public",-3.37448,36.57251,"Arusha","Operating","Tanzania"
"MUSA","105715-7","Dispensary","Public",-3.32405,36.520461,"Arusha","Operating","Tanzania"
"KIVULINI","112313-2","Health Center","Private",-3.51706,36.87044,"Arusha","Operating","Tanzania"
"OLDONYOSAPUK","106903-8","Dispensary","Public",-3.3292,36.7094,"Arusha","Operating","Tanzania"
"KISERIANI","103088-1","Dispensary","Public",-3.45026,36.73876,"Arusha","Operating","Tanzania"
"KIRANYI","103029-5","Dispensary","Public",-3.342505,36.668095,"Arusha","Operating","Tanzania"
"PERFECT","120922-0","Dispensary","Private",-3.34993,36.68501,"Arusha","Operating","Tanzania"
"SAFARI","113545-8","Health Laboratory","Private",-3.31559,36.641,"Arusha","Operating","Tanzania"
"MLANGARINI","105192-9","Dispensary","Public",-3.44595,36.78874,"Arusha","Operating","Tanzania"
"BLACA","113651-4","Health Laboratory","Private",-3.35597,36.69614,"Arusha","Operating","Tanzania"
"MAJIMOTO","104065-8","Dispensary","Public",-3.495187,36.852856,"Arusha","Operating","Tanzania"
"MADUNGA","103870-2","Dispensary","Public",-4.13426,35.4413,"Manyara","Operating","Tanzania"
"DAREDA","100954-7","Hospital","Private",-4.24021,35.49297,"Manyara","Operating","Tanzania"
"GIJEDABUNG","101219-4","Dispensary","Public",-4.19015,35.9198,"Manyara","Operating","Tanzania"
"GIDAS","101217-8","Health Center","Public",-4.42089,35.68066,"Manyara","Operating","Tanzania"
"ENDABEG","101082-6","Dispensary","Public",-4.25317,35.66211,"Manyara","Operating","Tanzania"
"MAWEMAIRO","104509-5","Dispensary","Public",-4.05706,35.76117,"Manyara","Operating","Tanzania"
"MAGUGU","103993-2","Health Center","Public",-4.00028,35.77902,"Manyara","Operating","Tanzania"
"ST.ALFRED RIRODA RC","107089-5","Dispensary","Private",-4.18033,35.3892,"Manyara","Operating","Tanzania"
"RIRODA PUBLIC","110705-1","Dispensary","Public",-4.30053,35.64894,"Manyara","Operating","Tanzania"
