facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Apomu Comprehensive Health Center,29/22/1/1/2/0001,Primary,Public,7.351823333,4.187546667,Osun,NA
Divine Favour Maternity,01/09/1/1/2/0003,Primary,Private,5.098503333,7.408103333,Abia,NA
Gafsol Medical Center,30/11/1/2/2/0021,Secondary,Private,7.4443083,3.2780017,Oyo,NA
Gindiri Primary Health Center,31/11/1/1/1/0025,Primary,Public,9.581298828,9.209716797,Plateau,NA
Etioni Primary Health Center,29/03/1/1/1/0052,Primary,Public,7.38811,4.75533,Osun,NA
Ifako Health Center,24/10/1/1/2/0044,Primary,Private,6.63678,3.331041667,Lagos,NA
Promise Medical Center,24/01/1/1/2/0025,Primary,Private,6.61511,3.312596667,Lagos,NA
First Line Hospital,24/04/1/2/2/0012,Primary,Private,6.462593333,3.284113333,Lagos,NA
Duwe Primary Health Clinic,31/14/1/1/1/0018,Primary,Public,8.614929199,9.073730468,Plateau,NA
New Maiganga Health Post,15/01/1/1/1/0044,Primary,Public,9.980285645,11.14971924,Gombe,NA
Divine Favour Medical Center,14/04/1/1/2/0059,Primary,Private,6.45892334,7.528076172,Enugu,NA
Shamang Primary Health Clinic,31/12/1/1/1/0029,Primary,Public,8.982761553,9.495591796,Plateau,NA
Eziagu Health Post,04/20/1/1/1/0007,Primary,Public,5.995117187,7.234313965,Anambra,NA
Old Gra Health Post,01/01/1/1/1/0009,Primary,Public,5.114194,7.363293,Abia,NA
Ayegunle Primary Health Care Center,13/09/1/1/1/0003,Primary,Public,7.843505859,5.106506347,Ekiti,NA
Afao Primary Health Care Center,13/10/1/1/1/0004,Primary,Public,7.50542,5.23441,Ekiti,NA
Chidubem Maternity and Clinic,11/13/1/1/2/0051,Primary,Private,6.164476667,7.780171667,Ebonyi,NA
Nansa Health Clinic,16/22/1/1/1/0006,Primary,Public,5.88458,6.99823,Imo,NA
Mercy Medical Clinic Maternity,14/13/1/1/2/0026,Primary,Private,6.855102539,7.400878906,Enugu,NA
Divine Maternity and Clinic Home,27/03/1/1/2/0092,Primary,Private,6.745223333,3.220655,Ogun,NA
Olugbobiri Cottage Hospital,06/07/1/2/1/0002,Secondary,Public,4.68633,6.02871,Bayelsa,NA
Kyado Lg Health Center,07/21/1/1/1/0071,Primary,Public,7.651875,9.727846667,Benue,NA
Ikpayongo Primary Health Center,07/07/1/1/1/0018,Primary,Public,7.570153333,8.604335,Benue,NA
Isiala Umuezu Health Post,01/07/1/1/1/0090,Primary,Public,5.303238333,7.429288333,Abia,NA
Umule Oso Amadi Health Post,01/12/1/1/1/0041,Primary,Public,5.0766256,7.3916728,Abia,NA
Ubili Nnokwa Health Post,04/11/1/1/1/0048,Primary,Public,6.06235,6.964326667,Anambra,NA
Obiohuru Health Center,16/09/1/1/1/0027,Primary,Public,5.73532,7.23579,Imo,NA
Bioku Araba Health Center,30/26/1/1/1/0017,Primary,Public,7.367115,4.003501,Oyo,NA
Kadadaba Health Clinic,36/10/1/1/1/0021,Primary,Public,12.26478833,6.422663333,Zamfara,NA
Geba Primary Health Clinic,36/07/1/1/1/0070,Primary,Public,12.12603,6.70459,Zamfara,NA
Yarkwana Primary Health Clinic,36/06/1/1/1/0038,Primary,Public,12.14374,5.11247,Zamfara,NA
Kaura Namoda Clinic,36/08/1/1/2/0071,Primary,Private,12.58817,6.59414,Zamfara,NA
Anka General Hospital,36/01/1/2/1/0001,Secondary,Public,12.10953,5.92749,Zamfara,NA
Maiduma Babban Baye Primary Health Clinic,36/01/1/1/1/0046,Primary,Public,12.05883,5.87071,Zamfara,NA
Challi Primary Health Clinic,36/03/1/1/1/0002,Primary,Public,12.53253,6.70316,Zamfara,NA
Ngodoo Clinic and Maternity,07/05/1/1/1/0041,Primary,Private,7.292967452,8.828775388,Benue,NA
