facility_code,service_category,service_group,service_detail
BT240006,Clinical Services,Clinical Services,Chronic Respiratory diseases management
BT240006,Clinical Services,Clinical Services,Cardivascular diseases management
BT240006,Clinical Services,Clinical Services,Disinfectant
BT240006,Clinical Services,Clinical Services,Sharp container
BT240006,Clinical Services,Clinical Services,Out patient services (OPD)
BT240006,Clinical Services,Clinical Services,Malaria rapid diagnostic test (MRDT)
BT240006,Clinical Services,Clinical Services,Non-Communicable Diseases
BT240006,Clinical Services,Clinical Services,Disinfectant
BT240006,Clinical Services,Clinical Services,Pneumonia treatment
BT240006,Clinical Services,Clinical Services,Out patient services (OPD)
BT240006,Clinical Services,Clinical Services,ARI
BT240006,Clinical Services,Clinical Services,Disposable syringes
BT240006,Clinical Services,Clinical Services,Pneumonia treatment
BT240006,Clinical Services,Clinical Services,Chronic Respiratory diseases
BT240006,Clinical Services,Clinical Services,Disposable syringes
BT240006,Clinical Services,Clinical Services,Running water
BT240006,Clinical Services,Clinical Services,Surgical services provided
BT240006,Clinical Services,Clinical Services,ARI
BT240006,Clinical Services,Clinical Services,Hand waship soap
BT240006,Clinical Services,Clinical Services,Cardivascular diseases management
BT240006,Clinical Services,Clinical Services,MCI-Integrated Mangement of child illiness
BT240006,Clinical Services,Clinical Services,Disposable gloves
BT240006,Clinical Services,Clinical Services,Treatment of severe pneumonia(Oxygen)
BT240006,Clinical Services,Clinical Services,Bin
BT240006,Clinical Services,Clinical Services,Sharp container
BT240006,Clinical Services,Clinical Services,Running water
BT240006,Clinical Services,Clinical Services,ORS
BT240006,Clinical Services,Clinical Services,Disinfectant
BT240006,Clinical Services,Clinical Services,Surgical services provided
BT240006,Clinical Services,Clinical Services,Disposable syringes
BT240006,Clinical Services,Clinical Services,Malaria diagnosis
BT240006,Clinical Services,Clinical Services,Hand waship soap
BT240006,Clinical Services,Clinical Services,Malaria facility offer diagnosis and malaria treatment
BT240006,Clinical Services,Clinical Services,Malaria rapid diagnostic test (MRDT)
BT240006,Clinical Services,Clinical Services,Out patient services (OPD)
