addo_uid,addo_name,business_type,accreditation_source,po_box,region,region_raw_clean,district,ward,village_street,phone,training_center,latitude,longitude,altitude,gps_source,gps_accuracy,has_coords,gid_region,gid_district,gid_ward
TZ-ADDO-04253,Kahoya dldm,Retail A,TFDA,,Tanga,Tanga,Muheza,Ngomeni,Mkanyageni,,Muheza dc,-5.1404812706,38.8677652708,172.8023897922,tablet,4.0,True,36957248B96174950507772,72390352B38576032693201,66589294B53974558030478
TZ-ADDO-04254,Fasaha dldm,Retail A,Pharmacy Council,,Tanga,Tanga,Muheza,Ngomeni,Lusanga,,Muheza dc,-5.1800342993,38.8232003498,217.3458210098,tablet,4.0,True,36957248B96174950507772,72390352B38576032693201,66589294B53974558030478
TZ-ADDO-04255,Alrnur dldm,Retail A,,104 hale,Tanga,Tanga,Korogwe Dc,Mnyuzi,Makokotoni,,Kilindi dc,-5.2947689137,38.6053437938,234.4476647089,tablet,4.0,True,36957248B96174950507772,72390352B3133588656991,66589294B49473225966569
TZ-ADDO-04256,Nyanda dldm,Retail A,,,Tanga,Tanga,Muheza,Lusanga,Lusanga,,Muheza dc,-5.1829154854,38.8238165172,213.1159183798,tablet,4.0,True,36957248B96174950507772,72390352B38576032693201,66589294B1912816135871
TZ-ADDO-04257,Fasaha dldm,Retail A,Pharmacy Council,,Tanga,Tanga,Muheza Dc,Mtindiro,Mtindiro,,Muheza dc,-5.2786952403,38.7700554876,226.2825374242,tablet,4.0,True,36957248B96174950507772,72390352B38576032693201,66589294B77229502252915
TZ-ADDO-04258,Zuhura dldm,Retail A,,,Tanga,Tanga,Muheza Dc,Kigombe,Kigombe,,,-5.2970176394,39.0603303753,6.7464360695,tablet,6.0,True,36957248B96174950507772,72390352B38576032693201,66589294B94591092775603
TZ-ADDO-04259,Misozwe,Retail A,,,Tanga,Tanga,Muheza,Misozwe,Mkole B,,,-5.0644692965,38.7767406436,185.3099433359,tablet,4.0,True,36957248B96174950507772,72390352B38576032693201,66589294B44387401981260
TZ-ADDO-04260,Mdoe dldm,Retail A,Pharmacy Council,365 kicheba,Tanga,Tanga,Muheza,Kicheba,Kicheba,,Muheza dc,-5.1071046769,38.7906308791,218.5043013504,tablet,4.0,True,36957248B96174950507772,72390352B38576032693201,66589294B98438993171208
TZ-ADDO-04261,Mam dldm,Retail A,Pharmacy Council,,Tanga,Tanga,Muheza Dc,Magira,Magazine,,Muheza dc,-5.1494486136,38.7666023735,203.48407154,tablet,4.0,True,36957248B96174950507772,72390352B38576032693201,66589294B15451683725000
TZ-ADDO-04262,Mboni dldm,Retail A,,,Tanga,Tanga,Muheza,Genge,Michugwani,,,-5.177853337,38.8070823692,192.373428489,tablet,4.0,True,36957248B96174950507772,72390352B38576032693201,66589294B4383406071806
TZ-ADDO-04263,Mdk dldm,Retail A,,51 muheza,Tanga,Tanga,Muheza,Genge,Michungwani,,Muheza dc,-5.1753056439,38.8010005016,193.8900854429,tablet,4.0,True,36957248B96174950507772,72390352B38576032693201,66589294B4383406071806
TZ-ADDO-04264,Andrew dldm,Retail A,Pharmacy Council,,Tanga,Tanga,Muheza,Mtindiro,Kwabada,,,-5.3199705862,38.7507336726,233.5108906389,tablet,4.0,True,36957248B96174950507772,72390352B38576032693201,66589294B77229502252915
TZ-ADDO-04265,Rachel dldm,Retail A,,,Tanga,Tanga,Korogwe Dc,Mnyuzi,Mnyuzi,,Korogwe dc,-5.2260434477,38.5835244458,250.2918547688,tablet,4.0,True,36957248B96174950507772,72390352B3133588656991,66589294B49473225966569
TZ-ADDO-04266,Karie dldm,Retail A,,,Tanga,Tanga,Korogwe,Mnyuzi,Mnyuzi,,Korogwe dc,-5.2255787352,38.5834725434,256.3337709151,tablet,4.0,True,36957248B96174950507772,72390352B3133588656991,66589294B49473225966569
TZ-ADDO-04267,Gawile dldm,Retail A,Pharmacy Council,,Tanga,Tanga,Korogwe Dc,Kwagunda,Kwagunda,,,-5.1647975034,38.5629972168,284.9526819258,tablet,4.0,True,36957248B96174950507772,72390352B3133588656991,66589294B38573051674737
TZ-ADDO-04268,UPENDO DLDM,Retail A,TFDA,588 Njombe,Njombe,Njombe,Njombe Tc,Njombe Urbun,Chaugingi,,Njombe District,-9.35064072,34.7691808167,1949.7163688293,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04269,FAITH DLDM,Retail A,TFDA,651 Njombe,Njombe,Njombe,Njombe Tc,Njombe Urbun,Chaugingi,,Mbeya Municipal,-9.3503215925,34.7703680037,1959.7403386212,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04270,MSAFIRI DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urbun,Chaugingi,,Kibena Njombe District,-9.350895922,34.770318863,1950.2902284964,tablet,6.0,True,36957248B16645806994912,,
TZ-ADDO-04271,YE MEDICARE DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urbun,Chaugingi,,Njombe District,-9.3519166064,34.7707413037,1967.640218497,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04272,LWILLA DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urbun,Kibena Hospital Street,,Manyoni District,-9.3079943974,34.7704314335,1895.2701015988,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04273,MHAFIWA DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urban,Kibena,,Iringa MC,-9.3089265876,34.7703616479,1897.8580491048,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04274,MOHAMED DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urban,Kibena Madukani,,Lutheran Centre Makambako,-9.3003817932,34.7761563816,1899.6895076112,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04275,MAHUVI,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urban,Kibena Madukani,,Njombe District,-9.3018540584,34.7760892809,1894.5020631678,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04276,CASINO DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Kibena Madukani,,Njombe District,-9.3027333185,34.7757916229,1920.4086971389,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04277,KILUNDO DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Kibena Madukani,,Njombe District,-9.3029042215,34.7757575098,1901.514383595,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04278,MUTAYOBA DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urban,Kibena Kati,,Arusha MC,-9.3047204719,34.7760114379,1894.8869407719,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04279,MWINGIRA DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Kibena Kati,,,-9.3051733956,34.7772959593,1897.5240645967,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04280,HEKIMA DLDM,Retail A,Pharmacy Council,,Njombe,Njombe,Njombe Tc,Njombe Urban,Kibena Kati,,Njombe DISTRICT,-9.3107294514,34.7730893982,1881.8586507925,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04281,MARY DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Kibena Hospital,,Njombe District,-9.3112693048,34.7727996154,1887.1834382388,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04282,HALELUYA DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Ramadhani,Ramadhani,,Njombe District,-9.3271527281,34.7527049689,1880.7105309188,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04283,NYIGU DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Ramadhani,Ramadhani,,,-9.3281975737,34.7538133667,1886.0198943378,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04284,MWASUMILWE DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Ramadhani,Ramadhani,,Iringa MC,-9.3280922034,34.7504107537,1913.0688786227,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04285,HAULE DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Ramadhani,Ramadhani,,Njombe District,-9.3292071035,34.7488253987,1904.8550565469,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04286,MGANA DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Ramadhani,Ramadhani,,Mufindi District,-9.3304597354,34.7473802351,1905.4545691887,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04287,TWILUMBA DLDM,Retail A,TFDA,17 Njombe,Njombe,Njombe,Njombe Tc,Ramadhani,Wikichi,,Njombe District,-9.3329504618,34.6926175202,2054.1751293296,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04288,WISE DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urban,Nhc Street,,Njombe District,-9.3352585423,34.7691838813,1865.4594423378,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04289,CHA'S,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urban,Nhc Street,,Njombe District,-9.340648981,34.7707799518,1893.1829881716,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04290,BESA DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urban,Posta,,Iringa MC,-9.3417423338,34.7694522518,1923.5973350092,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04291,KAROS DLDM,,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Lutheran Street,,Njombe District,-9.343121434,34.7694843539,1917.6378543412,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04292,TANGANYIKA DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Chaugingi,,Njombe District,-9.3491786613,34.7691827994,1930.7277212279,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04293,MHOHA DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Njosi,,,-9.3484226844,34.7733456997,1935.4273361393,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04294,TRIPLE N DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urban,Mpechi Street,,Njombe District,-9.3495586746,34.772586989,1943.9185863332,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04295,PEMBEZON B,Retail A,,,Njombe,Njombe,Njombe District,Njombe Urban,Chaugingi,,,-9.3528177417,34.7732685105,1945.2807367437,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04296,CHIPYELA DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Joshoni,,Njombe TC,-9.3520259032,34.7757239979,1940.2485592618,tablet,4.0,True,36957248B16645806994912,,
